year,industry1,job_vacancy_rate
2000,manufacturing,2.8
2000,construction,1
2000,services,3.2
2000,others,2.6
2001,manufacturing,1.2
2001,construction,0.6
2001,services,2
2001,others,2.6
2002,manufacturing,1.6
2002,construction,0.5
2002,services,1.6
2002,others,3.4
2003,manufacturing,1.3
2003,construction,0.4
2003,services,1.3
2003,others,2.3
2004,manufacturing,1.7
2004,construction,0.5
2004,services,1.7
2004,others,2.4
2005,manufacturing,1.8
2005,construction,0.6
2005,services,1.9
2005,others,2
2006,manufacturing,2.2
2006,construction,1.1
2006,services,2.6
2006,others,2.2
2007,manufacturing,2.2
2007,construction,1.5
2007,services,3
2007,others,2.8
2008,manufacturing,1.6
2008,construction,1.6
2008,services,2.8
2008,others,2.3
2009,manufacturing,1.2
2009,construction,0.8
2009,services,2.3
2009,others,1.9
2010,manufacturing,2.1
2010,construction,1.2
2010,services,3
2010,others,2.2
2011,manufacturing,2.3
2011,construction,1.5
2011,services,3.3
2011,others,3.1
2012,manufacturing,1.8
2012,construction,1.2
2012,services,3
2012,others,4.1
2013,manufacturing,1.9
2013,construction,1.3
2013,services,3.3
2013,others,3.2
2014,manufacturing,2.1
2014,construction,1.2
2014,services,3.7
2014,others,2.5
2015,manufacturing,1.8
2015,construction,0.9
2015,services,3.5
2015,others,2.3
2016,manufacturing,1.6
2016,construction,0.6
2016,services,2.9
2016,others,1.8
2017,manufacturing,1.8
2017,construction,0.6
2017,services,2.9
2017,others,1.8
2018,manufacturing,2.3
2018,construction,1.1
2018,services,3.1
2018,others,2
2019,manufacturing,1.9
2019,construction,0.8
2019,services,2.9
2019,others,1.7
2020,manufacturing,1.6
2020,construction,1
2020,services,2.7
2020,others,1.6
